2024-11-22 14:04:29,057 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Configure stats pid to 1026428
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Loading settings from /home/zeddo123/.config/wandb/settings
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Loading settings from /home/zeddo123/anom/RD4AD/wandb/settings
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'easy_train.py', 'program_abspath': '/home/zeddo123/anom/RD4AD/easy_train.py', 'program': '/home/zeddo123/anom/RD4AD/easy_train.py'}
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_init.py:_log_setup():524] Logging user logs to /home/zeddo123/anom/RD4AD/wandb/run-20241122_140429-hp7xfyb1/logs/debug.log
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_init.py:_log_setup():525] Logging internal logs to /home/zeddo123/anom/RD4AD/wandb/run-20241122_140429-hp7xfyb1/logs/debug-internal.log
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_init.py:init():607] calling init triggers
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'dataset_name': 'visa', 'dataset_path': '../InCTRL/visa_anomaly_detection/visa', 'epochs': 100, 'learning_rate': 0.005, 'batch_size': 10, 'image_size': 256, 'run': 'training', 'model': 'RD4AD', 'device': 0}
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_init.py:init():657] starting backend
2024-11-22 14:04:29,058 INFO    MainThread:1026428 [wandb_init.py:init():661] setting up manager
2024-11-22 14:04:29,060 INFO    MainThread:1026428 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-22 14:04:29,062 INFO    MainThread:1026428 [wandb_init.py:init():669] backend started and connected
2024-11-22 14:04:29,062 INFO    MainThread:1026428 [wandb_init.py:init():764] updated telemetry
2024-11-22 14:04:29,071 INFO    MainThread:1026428 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-11-22 14:04:29,486 INFO    MainThread:1026428 [wandb_run.py:_on_init():2479] communicating current version
2024-11-22 14:04:29,582 INFO    MainThread:1026428 [wandb_run.py:_on_init():2488] got version response upgrade_message: "wandb version 0.18.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-11-22 14:04:29,582 INFO    MainThread:1026428 [wandb_init.py:init():848] starting run threads in backend
2024-11-22 14:04:29,637 INFO    MainThread:1026428 [wandb_run.py:_console_start():2457] atexit reg
2024-11-22 14:04:29,637 INFO    MainThread:1026428 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-11-22 14:04:29,637 INFO    MainThread:1026428 [wandb_run.py:_redirect():2368] Wrapping output streams.
